2025-07-15 23:08:48.073 [main] INFO  [c.n.e.EurekaServerApplication] - Starting EurekaServerApplication using Java 17.0.2 on BBSR-LW-18-0056 with PID 27728 (C:\Users\hparichha\IdeaProjects\12345\FRONTEND + BACKEND\BACKEND\eureka-server\target\classes started by hparichha in C:\Users\hparichha\IdeaProjects\12345\FRONTEND + BACKEND\BACKEND)
2025-07-15 23:08:48.084 [main] INFO  [c.n.e.EurekaServerApplication] - No active profile set, falling back to 1 default profile: "default"
2025-07-15 23:08:49.824 [main] INFO  [o.s.cloud.context.scope.GenericScope] - BeanFactory id=3e248556-b6ed-3feb-89f3-8ae2ef168458
2025-07-15 23:08:50.366 [main] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8761 (http)
2025-07-15 23:08:50.709 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2509 ms
2025-07-15 23:08:51.436 [main] INFO  [c.s.j.s.i.a.WebApplicationImpl] - Initiating Jersey application, version 'Jersey: 1.19.4 05/24/2017 03:20 PM'
2025-07-15 23:08:54.003 [main] INFO  [o.s.cloud.commons.util.InetUtils] - Cannot determine local hostname
2025-07-15 23:08:55.729 [main] INFO  [o.s.cloud.commons.util.InetUtils] - Cannot determine local hostname
2025-07-15 23:08:55.861 [main] WARN  [o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger] - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-07-15 23:08:56.006 [main] WARN  [c.n.eureka.cluster.PeerEurekaNodes] - The replica size seems to be empty. Check the route 53 DNS Registry
2025-07-15 23:08:56.103 [main] INFO  [o.s.b.a.e.web.EndpointLinksResolver] - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-07-15 23:08:56.202 [main] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8761 (http) with context path ''
2025-07-15 23:08:57.421 [main] INFO  [o.s.cloud.commons.util.InetUtils] - Cannot determine local hostname
2025-07-15 23:08:57.468 [main] INFO  [c.n.e.EurekaServerApplication] - Started EurekaServerApplication in 11.565 seconds (JVM running for 13.01)
2025-07-15 23:18:56.008 [Eureka-PeerNodesUpdater] WARN  [c.n.eureka.cluster.PeerEurekaNodes] - The replica size seems to be empty. Check the route 53 DNS Registry
